ID,Year.x,sex,Site,CI1,RS,WPY,JulRec,N,avg_entropy,avg_dfrange,avg_freq.range,avg_meanpeakf,avg_num.elms,avg_elm.duration,avg_elm.rate,avg_song.duration,avg_gap.duration,avg_mcp.area,avg_freq.IQR,cv_entropy,cv_dfrange,cv_freq.range,cv_meanpeakf,cv_num.elms,cv_elm.duration,cv_elm.rate,cv_song.duration,cv_gap.duration,cv_mcp.area,cv_freq.IQR,maxTS,T_Avg_Bright,R_Avg_Bright,B_Avg_Bright,V_Avg_Bright,T_Hue,R_Hue,B_Hue,V_Hue,T_Chroma,R_Chroma,B_Chroma,V_Chroma,RelRec,idyr,band,Year.y,T_tcs.h.theta,T_tcs.h.phi,T_tcs.r.achieved,T_sum.B2,R_tcs.h.theta,R_tcs.h.phi,R_tcs.r.achieved,R_sum.B2,B_tcs.h.theta,B_tcs.h.phi,B_tcs.r.achieved,B_sum.B2,V_tcs.h.theta,V_tcs.h.phi,V_tcs.r.achieved,V_sum.B2
2540-98876,2012,f,CHR,153,7,NA,150,7,0.82335181,2.407021053,5.995271429,3.372999123,10.42857143,0.079373046,8.877115644,1.187428571,0.037952587,7.49E-06,0.913971811,8.72E-05,0.117257634,0.165514186,0.111133384,1.625570776,0.001074929,0.06629455,0.210254572,0.002390737,5.90E-06,0.070524274,75.5,18.225,25.22,36.635,23.05,663.747,622.463,636.443,609.03,0.49,0.465,0.418,0.475,-3,2540-98876 2012,2540-98876,2012,-0.132469101,-0.68701168,0.505618771,17.84816634,-0.052880812,-0.709836046,0.488256178,24.71875122,0.012360815,-0.789202075,0.436565162,36.02373873,-0.077354794,-0.687644817,0.494659009,22.57613571
2391-90700,2012,f,CHR,148,2,NA,132,11,0.830380115,2.182986124,6.653854545,3.826552543,25.09090909,0.062648207,10.68182753,2.317636364,0.036690721,2.36E-05,1.000942205,0.000264802,0.126115703,0.107774339,0.103060969,6.962318841,0.002767545,0.595518864,0.365741437,0.001815042,2.39E-06,0.148721174,77.333,NA,42.342,38.057,34.53,NA,612.707,625.07,658.1,NA,0.384,0.389,0.399,-16,2391-90700 2012,2391-90700,2012,NA,NA,NA,NA,0.012838188,-0.813316886,0.346268733,41.78288498,0.028580511,-0.852684871,0.386190206,37.5068584,-0.009934934,-0.787768028,0.364606216,34.03277608
2600-27737,2012,f,CHR,175,0,NA,146,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,53.672,NA,39.821,NA,611.81,NA,616.74,NA,0.366,NA,0.389,-29,2600-27737 2012,2600-27737,2012,NA,NA,NA,NA,0.135392496,-0.990597959,0.40009532,52.95747125,NA,NA,NA,NA,0.052869182,-0.847083706,0.392861561,39.25159871
2540-98872,2012,f,CHR,160,4,NA,150,3,0.83791857,2.487022222,6.398433333,3.190444444,9.666666667,0.074511111,9.841785611,0.982333333,0.030467593,1.04E-05,0.985296366,5.33E-06,0.008205283,0.116987047,0.086401661,0.034482759,0.000415692,0.029115044,0.001085511,0.000424102,4.29E-06,0.016067724,87,23.19,27.671,24.935,22.365,596.75,617.457,576.057,596.75,0.479,0.45,0.448,0.48,-10,2540-98872 2012,2540-98872,2012,-0.069299022,-0.697004705,0.51100319,22.69660153,-0.009078846,-0.756637735,0.493846385,27.13954682,-0.006040895,-0.771471507,0.506352146,24.44693064,-0.067312332,-0.687693721,0.507990952,21.89622468
2600-27265,2012,f,Fisher,141,5,NA,140,1,0.853326387,2.499,6.9843,3.969,10,0.0548,11.61440186,0.861,0.034777778,4.49E-06,1.149724498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,18.089,36.652,38.569,24.743,605.073,589.757,566.717,620.787,0.512,0.429,0.422,0.478,-1,2600-27265 2012,2600-27265,2012,-0.084742257,-0.684129093,0.579107,17.65368035,0.022057865,-0.807757847,0.478664975,35.99379452,0.029144566,-0.831209909,0.476822491,37.89212291,-0.012609232,-0.768035488,0.578985249,24.19328883
2540-46019,2011,m,Cargill,149,2,2,141,5,0.815221237,1.990214545,8.23152,3.778207241,62.4,0.060090468,10.36068628,6.0334,0.037411897,3.29E-05,0.971387424,0.000452076,0.02786669,0.175718435,0.015676921,0.245192308,0.000339393,0.055134358,0.02026524,0.001570742,2.72E-06,0.018091124,95,19.7416,21.382,17.8248,15.2992,621.7067,660.1633,654.7867,665.7333,0.5014,0.5076,0.5211,0.5583,-8,2540-46019 2011,2540-46019,2011,-0.096288631,-0.687757944,0.549159903,19.28575074,-0.073474446,-0.701911777,0.581929685,20.86871872,-0.057478891,-0.723603649,0.644395975,17.36421424,-0.120138168,-0.674788725,0.664300371,14.87324224
2540-98984,2011,m,MAKE BELIEVE,153,9,9,146,5,0.805023448,2.249477232,8.46662,3.62611638,41.2,0.068087199,10.46495277,3.954,0.029059639,3.55E-05,1.116007807,6.42E-05,0.043113088,0.057795795,0.002453541,0.453883495,0.001638619,0.124658296,0.045123419,0.000434245,2.11E-07,0.021373502,103,10.6624,22.8615,17.4209,14.8015,664.11,641.7333,622.1267,687.8,0.5903,0.5081,0.5243,0.5764,-7,2540-98984 2011,2540-98984,2011,-0.17380374,-0.664905698,0.704270239,10.34508215,-0.044176357,-0.768083357,0.648934369,22.2927544,-0.033519679,-0.810968238,0.747741997,16.9443596,-0.107898825,-0.705689171,0.744372049,14.3611159
2600-27260,2011,m,Fisher,152,9,4,143,5,0.803462568,1.697875713,7.96088,2.953469749,42,0.058359696,11.17876866,3.7574,0.032086018,4.00E-05,1.045948823,0.000183579,0.005464674,0.061648206,0.019673292,0.130952381,0.000153513,0.035334227,0.000545537,0.00021578,4.30E-07,0.011724486,84,16.6393,29.6178,23.1236,24.0033,653.8267,661.18,679.8133,670.4967,0.5181,0.4303,0.4799,0.5052,-9,2600-27260 2011,2600-27260,2011,-0.158181394,-0.566817878,0.46104994,16.2583641,-0.026778668,-0.722041945,0.411632512,29.11066514,-0.071088137,-0.697934339,0.507717647,22.6267436,-0.078977834,-0.707543077,0.571158115,23.43327065
2600-27262,2011,m,FISHER,156,7,5,150,5,0.789413065,1.908501664,7.8447,3.167736366,41.6,0.061224924,10.77195056,3.833,0.032937753,3.39E-05,0.935086059,0.000216068,0.030659714,0.052152557,0.022842153,2.050480769,0.000421956,0.071941206,0.10340347,0.000348568,5.32E-07,0.013808741,82,13.2947,20.1301,22.411,19.5692,653.7867,617.4467,598.71,645.0667,0.571,0.4995,0.4741,0.4892,-6,2600-27262 2011,2600-27262,2011,-0.112170725,-0.705731715,0.738361527,12.90509886,-0.000193502,-0.800646294,0.683740313,19.62579452,0.012895993,-0.838196886,0.643778156,21.89360635,-0.048218259,-0.766639067,0.598375402,19.12450961
2540-44680,2012,m,Fisher,155,4,3,164,5,0.798464392,2.175688397,8.62076,3.303660038,48.8,0.062246295,10.77116342,4.5058,0.032011505,3.59E-05,1.064147483,0.000177433,0.030079428,0.0719533,0.002542275,1.520491803,0.000534676,0.106328255,0.03777813,0.001295785,2.84E-07,0.047406465,105,31.65245318,34.53654882,37.72744801,25.12029077,644.51,661.18,660.8,644.51,0.436822751,0.441931947,0.406260889,0.437890034,9,2540-44680 2012,2540-44680,2012,-0.045213909,-0.722226775,0.430202417,31.08568878,-0.020786102,-0.735913255,0.455735944,33.89199109,-0.008096087,-0.747411416,0.370167416,37.14744581,-0.073795174,-0.632739655,0.366345694,24.68921152
